text,options,answers
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes pronominaux ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'manger' au passé composé ?","j'ai mangé,je mangais,j'ai manger","j'ai mangé"
"Quelle est la forme correcte du verbe 'aller' au passé composé ?","je suis allé,je suis allais,j'allais","je suis allé"
"Quelle est la forme correcte du verbe 'faire' au passé composé ?","j'ai fait,je fais,j'ai faité","j'ai fait"
"Quelle est la forme correcte du verbe 'venir' au passé composé ?","je suis venu,je suis venais,j'ai venu","je suis venu"
"Quelle est la forme correcte du verbe 'prendre' au passé composé ?","j'ai pris,j'ai prendu,j'ai prendais","j'ai pris"
"Quelle est la forme correcte du verbe 'écrire' au passé composé ?","j'ai écrit,j'ai écri,j'aicri","j'ai écrit"
"Quelle est la forme correcte du verbe 'lire' au passé composé ?","j'ai lu,j'ai lire,j'ai liré","j'ai lu"
"Quelle est la forme correcte du verbe 'voir' au passé composé ?","j'ai vu,j'ai voir,j'ai voya","j'ai vu"
"Quelle est la forme correcte du verbe 'boire' au passé composé ?","j'ai bu,j'ai boir,j'ai boiré","j'ai bu"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes de la maison d'être ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'finir' au passé composé ?","j'ai fini,je finis,j'ai finir","j'ai fini"
"Comment conjugue-t-on le verbe 'aller' au passé composé avec 'je' ?","je suis allé,je suis aller,j'ai allé","je suis allé"
"Quelle est la forme correcte du verbe 'prendre' au passé composé avec 'tu' ?","tu as pris,tu es pris,tu as prisé","tu as pris"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes réfléchis ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'venir' au passé composé avec 'elle' ?","elle est venue,elle a venu,elle a venue","elle est venue"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes réguliers en -er ?","avoir,être,faire","avoir"
"Quelle est la forme correcte du verbe 'voir' au passé composé avec 'nous' ?","nous avons vu,nous avons voir,nous avons vué","nous avons vu"
"Comment conjugue-t-on le verbe 'descendre' au passé composé avec 'vous' ?","vous êtes descendus,vous avez descendu,vous avez descendus","vous êtes descendus"
"Quelle est la forme correcte du verbe 'boire' au passé composé avec 'ils' ?","ils ont bu,ils ont bué,ils ont boire","ils ont bu"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes irréguliers ?","avoir,être,faire","avoir"
"Quelle est la forme correcte du verbe 'devenir' au passé composé avec 'je' ?","je suis devenu,je suis devené,j'ai devenu","je suis devenu"
"Comment conjugue-t-on le verbe 'partir' au passé composé avec 'tu' ?","tu es parti,tu as partir,tu as parti","tu es parti"
"Quelle est la forme correcte du verbe 'lire' au passé composé avec 'il' ?","il a lu,il a lire,il a lue","il a lu"
"Quel auxiliaire utilise-t-on pour former le passé composé des verbes pronominaux ?","être,avoir,faire","être"
"Quelle est la forme correcte du verbe 'faire' au passé composé avec 'nous' ?","nous avons fait,nous avons faire,nous avons faité","nous avons fait"
"Comment conjugue-t-on le verbe 'naître' au passé composé avec 'elle' ?","elle est née,elle est naître,elle a né","elle est née"
"Quelle est la forme correcte du verbe 'comprendre' au passé composé avec 'vous' ?","vous avez compris,vous avez comprendre,vous avez comprisé","vous avez compris"
